# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Mar 13 10:46:08 2018
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
#
loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_ratdor,pl_ratror,pl_rade,st_rad,st_kep,st_k2
11,EPIC 201182911,EPIC 201182911.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h30m50.50s,172.710419,-04d30m27.4s,-4.507613,0.99656225,2456811.090000,,0.62560,32.800,0.50,15.516,12.335
12,EPIC 201197348,EPIC 201197348.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h48m22.79s,177.094971,-04d09m51.8s,-4.164393,14.91238100,2456825.111000,,0.04445,3.550,0.65,15.135,12.424
13,EPIC 201205469,EPIC 201205469.01,K2-43 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47128500,2456813.353000,,0.07773,4.370,0.50,14.887,11.577
14,EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47114000,2456809.884500,,0.06600,4.130,0.57,14.887,11.577
15,EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,,1,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47134000,2456809.881000,13.510000,0.07400,4.760,,14.887,11.577
16,EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00361000,2456815.524000,,0.03485,2.570,0.62,14.409,11.571
17,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,,1,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00339000,2456815.524000,27.720000,0.03400,2.100,,14.409,11.571
18,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00329000,2456815.521200,27.790000,,2.370,0.60,14.409,11.571
19,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00440000,2456815.517000,,0.03490,1.690,0.43,14.409,11.571
20,EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,0,11h38m58.95s,174.745636,-03d54m20.1s,-3.905585,10.00617969,2456815.513027,,,,,14.409,11.571
21,EPIC 201211526,EPIC 201211526.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,12h13m52.54s,183.468918,-03d49m54.7s,-3.831868,21.07020100,2457588.478000,34.288349,0.01698,1.650,0.89,11.696,10.163
22,EPIC 201225286,EPIC 201225286.01,K2-159 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,12h02m09.81s,180.540894,-03d34m50.6s,-3.580723,12.42107800,2457586.514670,26.135513,0.02439,2.208,0.83,11.729,9.978
23,EPIC 201227197,EPIC 201227197.01,K2-160 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,12h16m13.10s,184.054581,-03d33m11.1s,-3.553082,3.70587100,2457585.666380,14.684713,0.03189,3.178,0.91,12.486,11.037
24,EPIC 201231064,EPIC 201231064.01,K2-161 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,12h15m10.52s,183.793839,-03d29m44.2s,-3.495612,9.28318800,2457587.847550,10.790043,0.02184,6.117,2.57,12.358,10.261
25,EPIC 201231940,EPIC 201231940.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h36m28.95s,174.120605,-03d28m56.8s,-3.482449,0.57303573,2456810.511000,,0.09028,3.350,0.43,18.108,15.155
26,EPIC 201238110,EPIC 201238110.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h58m49.42s,179.705933,-03d23m21.8s,-3.389389,7.90696060,2456813.675000,,0.04848,3.020,0.52,14.904,11.933
27,EPIC 201238163,EPIC 201238163.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h33m03.07s,173.262802,-03d23m19.6s,-3.388773,1.08296140,2456810.366000,,0.02378,1.560,0.56,15.279,12.282
28,EPIC 201239401,EPIC 201239401.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h32m12.71s,173.052963,-03d22m12.9s,-3.370242,0.90552205,2456810.944000,,0.02628,1.520,0.50,15.042,11.735
29,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CANDIDATE,,,1,11h51m47.17s,177.946548,-03d14m46.0s,-3.246116,2.75391000,2456810.903100,,0.07900,3.780,0.44,16.770,13.748
30,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,11h51m47.17s,177.946548,-03d14m46.0s,-3.246116,2.75411290,2456810.901000,,0.07842,4.870,0.55,16.770,13.748
31,EPIC 201257461,EPIC 201257461.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,1,11h52m38.66s,178.161102,-03d05m41.8s,-3.094936,50.28586900,2456828.355000,,0.05345,3.470,0.74,11.511,9.368
32,EPIC 201257461,EPIC 201257461.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,FALSE POSITIVE,,,0,11h52m38.66s,178.161102,-03d05m41.8s,-3.094936,50.27762000,2456828.373500,6.190000,,209.520,10.96,11.511,9.368
33,EPIC 201264302,EPIC 201264302.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,11h18m23.52s,169.598007,-02d59m29.7s,-2.991577,0.21219899,2456810.278000,,0.02488,1.050,0.37,13.879,10.357
34,EPIC 201264302,EPIC 201264302.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016AJ....152...47A target=ref>Adams et al. 2016</a>,CANDIDATE,,,1,11h18m23.52s,169.598007,-02d59m29.7s,-2.991577,0.21219400,2456812.400150,3.600000,0.02710,0.770,0.26,13.879,10.357
35,EPIC 201270176,EPIC 201270176.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,11h20m31.82s,170.132599,-02d54m09.3s,-2.902582,1.57771549,2456818.326995,,,,,12.452,10.401
36,EPIC 201270176,EPIC 201270176.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,11h20m31.82s,170.132599,-02d54m09.3s,-2.902582,1.57786430,2456810.434000,,0.11500,7.550,0.73,12.452,10.401
37,EPIC 201270464,EPIC 201270464.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,11h20m32.04s,170.133484,-02d53m53.4s,-2.898169,1.57771549,2456818.327691,,,,,9.392,8.438
38,EPIC 201291843,EPIC 201291843.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,11h53m41.00s,178.420837,-02d34m18.4s,-2.571776,40.70206194,2456823.294921,,,,,13.679,10.591
39,EPIC 201295312,EPIC 201295312.01,K2-44 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65706000,2456811.718700,12.940000,,2.160,1.09,12.126,10.693
40,EPIC 201295312,EPIC 201295312.01,K2-44 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65630400,2456811.720110,9.377576,0.01726,2.939,1.56,12.126,10.693
41,EPIC 201295312,EPIC 201295312.01,K2-44 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65625600,2456811.720000,,0.01714,2.080,1.03,12.126,10.693
42,EPIC 201295312,EPIC 201295312.01,K2-44 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,11h36m02.79s,174.011627,-02d31m15.2s,-2.520881,5.65688000,2456811.717600,,0.01560,2.720,1.58,12.126,10.693
43,EPIC 201299088,EPIC 201299088.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,12h08m49.13s,182.204697,-02d27m52.3s,-2.464518,21.20473900,2457600.342910,7.257597,0.04741,9.110,1.76,11.751,9.800
44,EPIC 201324549,EPIC 201324549.01,,FALSE POSITIVE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,,0,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51933400,2456809.993530,,0.02410,3.910,1.45,12.146,10.890
45,EPIC 201324549,EPIC 201324549.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,,0,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51940780,2456812.512000,,0.04461,7.990,1.72,12.146,10.890
46,EPIC 201324549,EPIC 201324549.01,,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CANDIDATE,,,1,11h24m56.62s,171.235916,-02d05m06.6s,-2.085164,2.51881781,2456820.075966,,,,,12.146,10.890
47,EPIC 201338508,EPIC 201338508.02,K2-5 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h17m12.84s,169.303497,-01d52m40.7s,-1.877976,5.73491000,2456808.864000,20.990000,,1.920,0.52,14.364,11.595
48,EPIC 201338508,EPIC 201338508.02,K2-5 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,11h17m12.84s,169.303497,-01d52m40.7s,-1.877976,5.73597000,2456808.860200,,0.02970,1.500,0.46,14.364,11.595
49,EPIC 201338508,EPIC 201338508.01,K2-5 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h17m12.84s,169.303497,-01d52m40.7s,-1.877976,10.93406000,2456814.594700,32.270000,,1.920,0.52,14.364,11.595
50,EPIC 201338508,EPIC 201338508.01,K2-5 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,11h17m12.84s,169.303497,-01d52m40.7s,-1.877976,10.93240000,2456814.601200,,0.03240,1.640,0.46,14.364,11.595
51,EPIC 201338508,EPIC 201338508.02,K2-5 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,Candidate identifier changed to match previous publication.,,0,11h17m12.84s,169.303497,-01d52m40.7s,-1.877976,5.73484620,2456814.601000,,0.03962,2.400,0.62,14.364,11.595
52,EPIC 201345483,EPIC 201345483.01,K2-45 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017arXiv170307416D target=ref>Dressing et al. 2017</a>,CONFIRMED,,,1,11h18m31.89s,169.632874,-01d46m26.9s,-1.774130,1.72926000,2456809.526000,8.070000,0.14000,10.440,,15.319,12.756
53,EPIC 201345483,EPIC 201345483.01,K2-45 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h18m31.89s,169.632874,-01d46m26.9s,-1.774130,1.72925910,2456811.255000,,0.13880,11.000,0.66,15.319,12.756
54,EPIC 201345483,EPIC 201345483.01,K2-45 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,11h18m31.89s,169.632874,-01d46m26.9s,-1.774130,1.72926840,2456809.526040,,0.13760,6.710,0.45,15.319,12.756
55,EPIC 201352100,EPIC 201352100.01,,CANDIDATE,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CANDIDATE,,,1,12h16m08.47s,184.035294,-01d40m25.3s,-1.673686,13.38362900,2457594.792040,34.933150,0.03231,2.873,0.82,12.798,10.708
56,EPIC 201367065,EPIC 201367065.02,K2-3 c,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,24.64501300,2456812.280000,,0.02858,1.900,0.58,11.574,8.561
57,EPIC 201367065,EPIC 201367065.02,K2-3 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,24.64745000,2456812.275900,55.850000,,1.560,0.52,11.574,8.561
58,EPIC 201367065,EPIC 201367065.01,K2-3 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,10.05437400,2456813.418000,,0.03496,2.400,0.58,11.574,8.561
59,EPIC 201367065,EPIC 201367065.01,K2-3 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,10.05448000,2456813.417700,30.720000,,1.980,0.52,11.574,8.561
60,EPIC 201367065,EPIC 201367065.02,K2-3 c,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,24.64350000,2456812.281100,,0.02880,1.180,0.37,11.574,8.561
61,EPIC 201367065,EPIC 201367065.01,K2-3 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,10.05443000,2456813.417800,,0.03510,1.440,0.37,11.574,8.561
62,EPIC 201367065,EPIC 201367065.01,K2-3 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016A&A...594A.100B target=ref>Barros et al. 2016</a>,CONFIRMED,,,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,10.05176778,2456823.477669,,,,,11.574,8.561
63,EPIC 201367065,EPIC 201367065.03,K2-3 d,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,44.56090000,2456826.228500,,0.02350,0.960,0.37,11.574,8.561
64,EPIC 201367065,EPIC 201367065.03,K2-3 d,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,44.56115000,2456826.227000,,0.02497,1.700,0.58,11.574,8.561
65,EPIC 201384232,EPIC 201384232.01,K2-6 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,11h52m46.14s,178.192261,-01d11m54.5s,-1.198477,30.94459300,2456827.497230,41.559757,0.02456,2.312,0.86,12.510,11.069
66,EPIC 201384232,EPIC 201384232.01,K2-6 b,CANDIDATE,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..222...14V target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,,0,11h52m46.14s,178.192261,-01d11m54.5s,-1.198477,30.94464800,2456827.497000,,0.02632,3.060,0.96,12.510,11.069
67,EPIC 201384232,EPIC 201384232.01,K2-6 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,0,11h52m46.14s,178.192261,-01d11m54.5s,-1.198477,30.93490000,2456827.513000,,0.02200,2.500,1.01,12.510,11.069
68,EPIC 201384232,EPIC 201384232.01,K2-6 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h52m46.14s,178.192261,-01d11m54.5s,-1.198477,30.94191000,2456827.501400,50.270000,,2.500,0.96,12.510,11.069
69,EPIC 201390048,EPIC 201390048.01,K2-162 b,CONFIRMED,<a href=https://zenodo.org/record/1164791#.WoSy74JG3Vp target=ref>Mayo et al. 2018</a>,CONFIRMED,,,1,12h24m09.28s,186.038666,-01d06m40.9s,-1.111351,9.45774700,2457583.908870,22.571341,0.01878,1.486,0.73,11.961,9.898
70,EPIC 201393098,EPIC 201393098.01,K2-7 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015ApJ...809...25M target=ref>Montet et al. 2015</a>,CONFIRMED,,,0,11h08m22.50s,167.093765,-01d03m56.7s,-1.065755,28.67992000,2456824.615500,40.290000,,2.670,0.96,13.054,11.564
71,EPIC 201393098,EPIC 201393098.01,K2-7 b,CONFIRMED,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2016ApJS..226....7C target=ref>Crossfield et al. 2016</a>,CONFIRMED,,,1,11h08m22.50s,167.093765,-01d03m56.7s,-1.065755,28.67770000,2456824.633000,,0.01770,4.120,2.13,13.054,11.564
